JX311792	NC;NC_OTU1;
GU002183	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
EU340512	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KC503151	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JF272650	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GQ500340	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
DQ148701	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
DQ148686	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JF802761	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
DQ148687	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU364026	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
DQ148718	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU181575	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KJ526749	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KF413203	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KC503181	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
DQ148684	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
AB592175	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
FJ615347	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GQ500277	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU360920	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
DQ148855	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JF715873	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
DQ148859	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JN375933	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JF802752	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JF802774	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU811347	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KC596351	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GQ500291	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
AB828845	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
EU049846	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
AB828963	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KC596355	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU363962	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GQ500393	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU360806	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JX015239	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KF362827	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU002192	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KF362868	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU002208	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU002239	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU181510	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GQ500187	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KF363042	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU811570	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
AB828859	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KF970537	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU811421	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GQ500449	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU181747	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GQ250778	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KF363150	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
EU340520	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
AB828884	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU811577	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU364150	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GQ500568	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GQ500391	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU360840	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU811351	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KC503177	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU364001	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU811424	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
DQ148738	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JX015223	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JF802769	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU363971	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
FJ615330	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU811427	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
AB828869	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
DQ148736	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU360742	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JN624338	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
EU340473	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KC503142	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KC503185	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KC503247	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
DQ148741	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
DQ148699	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KF970650	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KJ526744	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
EU340464	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GQ500499	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU181585	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GQ500504	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
FJ799241	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JQ358997	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KJ526748	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GQ500395	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KC503139	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU811576	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GQ500219	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KC503180	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GQ500227	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JN624349	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JN375874	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JX015219	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU360801	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
AB592009	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JN375913	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU360830	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU811343	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JF802739	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
AB828933	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU364097	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU364014	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU360970	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
AB828926	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
AB828853	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
AB828795	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU360804	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
AB828865	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU811368	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JN624375	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU360836	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
AB828966	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
FJ615341	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU364077	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JF802780	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU360781	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
AB828861	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JF715877	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GQ500557	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GQ500558	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GQ500551	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
EU340516	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GQ500531	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
EU340514	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU002241	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KF362820	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
EU885983	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KF362885	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KF363016	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU181524	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KF438339	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
EU885988	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KF512331	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JF924683	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KF363156	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KF362878	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KC503219	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JF802772	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU811401	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GQ500252	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GQ500286	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
EU049825	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
AB828856	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
AB828842	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
DQ148853	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
EU340477	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GQ500522	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GQ500507	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU066850	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU364123	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JF272670	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GQ500525	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
EU885994	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KF363188	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GQ500369	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
DQ148740	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU364064	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
FJ615348	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GQ500564	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JN375885	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KC503182	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
AB591970	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
EF414232	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
EU239045	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
AB828835	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
AB828823	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
DQ148710	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KC503224	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GQ500447	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
AB591988	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GQ500426	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JF272663	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KC503225	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
FJ615331	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KF362889	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KF362829	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KF362903	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KF438377	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KF438335	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KF363036	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU181596	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU002214	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
EU049824	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KC596359	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU002184	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KF413130	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU002193	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU181576	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
EU886134	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
DQ148831	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU811594	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
AB828807	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
EF414246	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JN624329	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU364049	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JF802750	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
EU239029	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
AB591972	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
AB592233	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU181436	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KF363205	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU181619	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KF438534	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
DQ148860	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
DQ148717	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
DQ148720	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
FJ799246	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GQ500566	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU364149	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU811355	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JX015253	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU364108	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU360779	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
DQ148858	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU364057	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU360818	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU360954	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JF802766	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JF802765	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JX015229	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU360819	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU811369	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
JN375879	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
EU340530	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KC596350	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
KC596343	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
GU002209	NP;NP-Epsilon;NP-Epsilon-2;NP-Epsilon-2.2;NP-Epsilon-2.2_OTU7;
